Total of paths: 1236
Noise: 491
Classified: 743
Number of clusters: 12

Cluster 1 consists of the following 96 point :

 -32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32422,159,-31619,179,-30711,127,-29733,51,-28736,77,-27667,140,-26694,162,-25687,226,-24709,245,-23728,206,-22827,216,-23065,206,-23739,196,-24609,207,-25519,135,-25866,135,-26006,134,-26628,291,-27518,435,-28462,666,-28838,762,-28988,801,-29634,921,-30496,1035,-31441,1196,-32498,1333,-32932,1381,-33099,1405,-33739,1236,-34007,1159,-34318,1000,-34432,937,-34477,915,-34494,905,-34501,900,-34504,899,-34505,898,-34506,898,-34506,898,-34710,377,-35011,-398,-35321,-1189,-35647,-1949,-35755,-2260,-35805,-2373,-35827,-2419,-35837,-2436,-35840,-2443,-35841,-2446,-35841,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448 ;
 -47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47720,-5039,-48604,-5264,-48964,-5356,-49299,-5588,-49436,-5678,-48888,-5736,-48665,-5765,-48575,-5781,-48159,-5908,-47776,-5852,-47622,-5830,-47562,-5822,-47612,-5660,-47630,-5598,-47636,-5572,-47639,-5560,-47641,-5556,-47400,-6059,-47304,-6260,-47265,-6341,-47251,-6375,-47246,-6388,-47244,-6393,-47243,-6395,-47243,-6396,-47719,-5981,-47912,-5816,-47990,-5751,-48020,-5725,-48033,-5714,-48037,-5709,-48039,-5707,-48040,-5706,-48040,-5705,-48040,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-47603,-6071,-47420,-6219,-47354,-6281,-47327,-6308,-47315,-6319,-47311,-6324,-46823,-6680,-46165,-7166,-45436,-7741,-45143,-7968,-45023,-8045,-44972,-8077,-44465,-8488,-43827,-9073,-43151,-9785,-42421,-10479,-41673,-11146,-40936,-11868,-40222,-12580,-39468,-13249,-39135,-13539,-38522,-14073,-37764,-14634,-37040,-15224,-36770,-15481,-36661,-15587,-36613,-15628,-36593,-15644,-36172,-15225,-35592,-14629,-34980,-13919,-34266,-13134,-33501,-12345,-32790,-11577,-32502,-11236,-32381,-11110,-31875,-10632,-31283,-10070,-31053,-9871,-30951,-9792,-30914,-9761,-30900,-9749,-30894,-9743,-30892,-9741,-30891,-9740,-30891,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30407,-9293,-29792,-8665,-29046,-7981,-28297,-7270 ;
 -47999,-4957,-47999,-4957,-48509,-5252,-48789,-5404,-48999,-5877,-49079,-6049,-49114,-6118,-48874,-6031,-48785,-5996,-48748,-5980,-48732,-5974,-48726,-5971,-48724,-5970,-48290,-5615,-48126,-5490,-48057,-5441,-48026,-5421,-48015,-5412,-48010,-5410,-48007,-5409,-48007,-5408,-48006,-5408,-48006,-5408,-47567,-4992,-47391,-4831,-47329,-4767,-47304,-4738,-47294,-4727,-46889,-4880,-46726,-4945,-46660,-4968,-46631,-4979,-46619,-4983,-46614,-4984,-46613,-4985,-46612,-4985,-46612,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985,-46611,-4985 ;
 -30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-29454,-9600,-29203,-9667,-29105,-9702,-29070,-9716,-29057,-9721,-29051,-9723,-29049,-9723,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-28497,-9942,-27658,-10190,-27314,-10300,-27188,-10338,-27133,-10354,-27111,-10360,-27102,-10363,-27098,-10364,-27097,-10364,-27096,-10364,-27096,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-26810,-9835,-26388,-9062,-26227,-8745,-26159,-8628,-25789,-8069,-25640,-7836,-25577,-7738,-25553,-7701,-25543,-7685,-25539,-7679,-25537,-7677,-25537,-7676 ;
 -48420,-4454,-47858,-3829,-47237,-3119,-47004,-2824,-46901,-2697,-46415,-2166,-46222,-1958,-45782,-1429,-45602,-1212,-45534,-1119,-45507,-1083,-45497,-1068,-45493,-1061,-45492,-1059,-45311,-1217,-45235,-1288,-45205,-1317,-45192,-1329,-45187,-1334,-45185,-1336,-45184,-1337,-45184,-1337,-45184,-1338,-45115,-1962,-44977,-2803,-44851,-3724,-44799,-4096,-44774,-4239,-44768,-4296,-44768,-4319,-44767,-4329,-44766,-4333,-44766,-4335,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44399,-4558,-44255,-4649,-43576,-4859,-42736,-5049,-41866,-5270,-41514,-5373,-41374,-5412,-41312,-5426,-41288,-5432,-40693,-5575,-40455,-5632,-40359,-5655,-40322,-5665,-40308,-5669,-40303,-5670,-39737,-5796,-39510,-5847,-39419,-5872,-38754,-6006,-38465,-6051,-38347,-6064,-38298,-6065,-38278,-6065,-38271,-6065,-38268,-6066,-38267,-6066,-38266,-6066,-37681,-6244,-36893,-6421,-36589,-6480 ;
 -20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582 ;
 -36055,-2132,-36029,-2158,-35700,-1834,-35590,-1725,-36083,-1741,-36793,-1825,-37054,-1866,-37145,-1879,-37178,-1885,-37093,-1914,-36964,-1951,-36820,-1992,-36671,-2034,-36612,-2051,-36491,-2051,-36345,-2052,-36193,-2050,-36037,-2047,-35878,-2048,-35719,-2051,-35559,-2055,-35400,-2058,-35242,-2060,-35084,-2061,-35026,-2066,-34908,-2099,-34772,-2138,-34615,-2183,-34463,-2224,-34305,-2282,-34152,-2335,-33997,-2375,-33854,-2434,-33709,-2492,-33559,-2557,-33413,-2625,-33257,-2673,-33109,-2726,-32960,-2772,-32814,-2824,-32676,-2873,-32527,-2921,-32380,-2983,-32330,-3002,-32237,-3059,-32121,-3135,-31990,-3222,-31850,-3302,-31717,-3400,-31588,-3492,-31459,-3583,-31335,-3682,-31195,-3774,-31063,-3865,-30923,-3965,-30794,-4068,-30674,-4164,-30543,-4270,-30418,-4366,-30289,-4457,-30154,-4543,-30026,-4628,-29897,-4714,-29762,-4805,-29630,-4900,-29513,-4992,-29386,-5081,-29266,-5171,-29146,-5250,-29029,-5333,-28904,-5420,-28766,-5515,-28624,-5596,-28487,-5676,-28353,-5767,-28232,-5850,-28110,-5941,-27979,-6037,-27842,-6117,-27723,-6210,-27591,-6291,-27460,-6379,-27414,-6412,-27308,-6452,-27175,-6503,-27043,-6548,-26898,-6597,-26759,-6652,-26197,-6850,-25469,-7161,-24684,-7450,-24320,-7560,-24083,-7632,-23888,-7690,-23734,-7732,-23580,-7767,-23424,-7803,-23275,-7856,-23125,-7908,-22978,-7952,-22924,-7964,-22356,-8034,-22052,-8064,-21414,-8065,-20594,-8120,-19809,-8118,-19024,-8082,-18190,-8096,-17880,-8104,-17771,-8108,-17630,-8096 ;
 -35639,-42,-34622,-21,-34248,-36,-34091,-49,-34028,-54,-34003,-56,-33993,-58,-33988,-59,-33987,-59,-33986,-59,-34583,-60,-34809,-41,-34893,-31,-34926,-27,-34940,-26,-34946,-24,-34948,-24,-34949,-24,-35500,-6,-35706,5,-35793,12,-35825,13,-35838,14,-35843,15,-36362,-162,-37117,-434,-38048,-775,-38989,-1100,-39936,-1422,-40832,-1773,-41205,-1941,-41362,-2012,-40836,-2121,-40613,-2160,-40526,-2170,-40490,-2178,-40476,-2181,-40470,-2181,-40468,-2182,-40467,-2182,-40466,-2182,-40466,-2182,-40466,-2182,-39915,-2273,-39684,-2297,-39592,-2299,-39556,-2299,-39542,-2300,-39537,-2300,-39535,-2300,-39534,-2300,-39534,-2300,-39534,-2300,-39533,-2300,-38952,-2425,-38734,-2466,-38649,-2483,-38616,-2489,-38604,-2491,-38599,-2492,-38597,-2492,-38596,-2492,-38596,-2492,-38596,-2492,-38596,-2492,-38008,-2580,-37792,-2602,-37706,-2612,-37672,-2618,-37660,-2621,-37655,-2622,-37653,-2622,-37652,-2622,-37652,-2622,-37033,-2655,-36147,-2709,-35220,-2778,-34254,-2878,-33862,-2911,-33704,-2926,-33059,-2952,-32790,-2946,-32683,-2944,-32082,-3021,-31848,-3067,-31754,-3077,-31718,-3084,-31703,-3087,-31697,-3088,-31695,-3089,-31694,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31109,-3170,-30270,-3211,-29351,-3334,-28987,-3385,-28845,-3415,-28788,-3428,-28766,-3431,-28756,-3432,-28753,-3433,-28751,-3433,-28751,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433 ;
 -31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31287,-9990,-30563,-10245,-29646,-10596,-29293,-10752,-29153,-10815,-29101,-10845,-28512,-11055,-28286,-11142 ;
 -30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30349,-10976,-30509,-10660,-30857,-9992,-31257,-9111,-31386,-8739,-31428,-8597,-31444,-8539,-31448,-8515,-31450,-8505,-31451,-8501,-31452,-8500,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31742,-7998,-31876,-7805,-31933,-7723,-31957,-7689,-31966,-7676,-32095,-7436,-32153,-7347,-32179,-7311,-31908,-6803,-31466,-6100,-30980,-5317,-30777,-5029,-30706,-4921,-30679,-4873,-30669,-4854,-30665,-4846,-30663,-4843,-30662,-4841,-30662,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841 ;
